zone,carbonIntensity,datetime
SE,14,2025-08-12T21:00:00.000Z
SE,22,2025-08-12T22:00:00.000Z
SE,17,2025-08-12T23:00:00.000Z
SE,21,2025-08-13T00:00:00.000Z
SE,30,2025-08-13T01:00:00.000Z
SE,31,2025-08-13T02:00:00.000Z
SE,30,2025-08-13T03:00:00.000Z
SE,26,2025-08-13T04:00:00.000Z
SE,33,2025-08-13T05:00:00.000Z
SE,34,2025-08-13T06:00:00.000Z
SE,37,2025-08-13T07:00:00.000Z
SE,37,2025-08-13T08:00:00.000Z
SE,38,2025-08-13T09:00:00.000Z
SE,38,2025-08-13T10:00:00.000Z
SE,39,2025-08-13T11:00:00.000Z
SE,38,2025-08-13T12:00:00.000Z
SE,33,2025-08-13T13:00:00.000Z
SE,23,2025-08-13T14:00:00.000Z
SE,32,2025-08-13T15:00:00.000Z
SE,37,2025-08-13T16:00:00.000Z
SE,33,2025-08-13T17:00:00.000Z
SE,33,2025-08-13T18:00:00.000Z
SE,32,2025-08-13T19:00:00.000Z
SE,31,2025-08-13T20:00:00.000Z
