zone,carbonIntensity,datetime
SE,45,2025-08-29T12:00:00.000Z
SE,41,2025-08-29T13:00:00.000Z
SE,25,2025-08-29T14:00:00.000Z
SE,17,2025-08-29T15:00:00.000Z
SE,17,2025-08-29T16:00:00.000Z
SE,19,2025-08-29T17:00:00.000Z
SE,16,2025-08-29T18:00:00.000Z
SE,17,2025-08-29T19:00:00.000Z
SE,16,2025-08-29T20:00:00.000Z
SE,17,2025-08-29T21:00:00.000Z
SE,16,2025-08-29T22:00:00.000Z
SE,17,2025-08-29T23:00:00.000Z
SE,16,2025-08-30T00:00:00.000Z
SE,16,2025-08-30T01:00:00.000Z
SE,17,2025-08-30T02:00:00.000Z
SE,17,2025-08-30T03:00:00.000Z
SE,17,2025-08-30T04:00:00.000Z
SE,17,2025-08-30T05:00:00.000Z
SE,17,2025-08-30T06:00:00.000Z
SE,19,2025-08-30T07:00:00.000Z
SE,41,2025-08-30T08:00:00.000Z
SE,39,2025-08-30T09:00:00.000Z
SE,49,2025-08-30T10:00:00.000Z
SE,51,2025-08-30T11:00:00.000Z
