Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Sweden,North Central Sweden,SE-SE2,0.91,17.54,99.91,99.91,entsoe.eu,false,
2022-01-02 00:00:00,Sweden,North Central Sweden,SE-SE2,1.16,19.77,99.90,99.90,entsoe.eu,false,
2022-01-03 00:00:00,Sweden,North Central Sweden,SE-SE2,1.28,20.56,99.89,99.89,entsoe.eu,false,
2022-01-04 00:00:00,Sweden,North Central Sweden,SE-SE2,1.11,19.22,99.90,99.90,entsoe.eu,false,
2022-01-05 00:00:00,Sweden,North Central Sweden,SE-SE2,1.03,18.87,99.91,99.91,entsoe.eu,false,
2022-01-06 00:00:00,Sweden,North Central Sweden,SE-SE2,0.76,17.56,99.95,99.95,entsoe.eu,false,
2022-01-07 00:00:00,Sweden,North Central Sweden,SE-SE2,1.05,18.52,99.90,99.90,entsoe.eu,false,
2022-01-08 00:00:00,Sweden,North Central Sweden,SE-SE2,0.89,17.20,99.91,99.91,entsoe.eu,false,
2022-01-09 00:00:00,Sweden,North Central Sweden,SE-SE2,1.22,19.40,99.88,99.88,entsoe.eu,false,
2022-01-10 00:00:00,Sweden,North Central Sweden,SE-SE2,1.08,18.99,99.90,99.90,entsoe.eu,false,
2022-01-11 00:00:00,Sweden,North Central Sweden,SE-SE2,1.03,18.77,99.90,99.90,entsoe.eu,false,
2022-01-12 00:00:00,Sweden,North Central Sweden,SE-SE2,0.80,17.21,99.92,99.92,entsoe.eu,false,
2022-01-13 00:00:00,Sweden,North Central Sweden,SE-SE2,0.64,16.58,99.95,99.95,entsoe.eu,false,
2022-01-14 00:00:00,Sweden,North Central Sweden,SE-SE2,0.59,16.33,99.95,99.95,entsoe.eu,false,
2022-01-15 00:00:00,Sweden,North Central Sweden,SE-SE2,0.61,15.93,99.94,99.94,entsoe.eu,false,
2022-01-16 00:00:00,Sweden,North Central Sweden,SE-SE2,0.64,16.66,99.95,99.95,entsoe.eu,false,
2022-01-17 00:00:00,Sweden,North Central Sweden,SE-SE2,0.69,17.39,99.95,99.95,entsoe.eu,false,
2022-01-18 00:00:00,Sweden,North Central Sweden,SE-SE2,0.75,17.29,99.94,99.94,entsoe.eu,false,
2022-01-19 00:00:00,Sweden,North Central Sweden,SE-SE2,0.57,16.45,99.96,99.96,entsoe.eu,false,
2022-01-20 00:00:00,Sweden,North Central Sweden,SE-SE2,0.59,16.73,99.96,99.96,entsoe.eu,false,
2022-01-21 00:00:00,Sweden,North Central Sweden,SE-SE2,0.68,16.80,99.95,99.95,entsoe.eu,false,
2022-01-22 00:00:00,Sweden,North Central Sweden,SE-SE2,0.76,16.99,99.93,99.93,entsoe.eu,false,
2022-01-23 00:00:00,Sweden,North Central Sweden,SE-SE2,0.79,17.07,99.92,99.92,entsoe.eu,false,
2022-01-24 00:00:00,Sweden,North Central Sweden,SE-SE2,0.62,16.10,99.94,99.94,entsoe.eu,false,
2022-01-25 00:00:00,Sweden,North Central Sweden,SE-SE2,0.60,15.55,99.94,99.94,entsoe.eu,false,
2022-01-26 00:00:00,Sweden,North Central Sweden,SE-SE2,0.77,16.96,99.93,99.93,entsoe.eu,false,
2022-01-27 00:00:00,Sweden,North Central Sweden,SE-SE2,0.83,17.17,99.93,99.92,entsoe.eu,false,
