zone,carbonIntensity,datetime,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod
SE,14,2025-08-12T21:00:00.000Z,2025-08-13T14:46:07.188Z,2025-08-09T21:42:34.725Z,lifecycle,False,
SE,22,2025-08-12T22:00:00.000Z,2025-08-13T14:46:07.188Z,2025-08-09T23:01:41.732Z,lifecycle,False,
SE,17,2025-08-12T23:00:00.000Z,2025-08-13T14:45:38.861Z,2025-08-09T23:46:56.748Z,lifecycle,False,
SE,21,2025-08-13T00:00:00.000Z,2025-08-13T14:46:07.188Z,2025-08-10T00:43:05.878Z,lifecycle,False,
SE,30,2025-08-13T01:00:00.000Z,2025-08-13T14:46:09.599Z,2025-08-10T01:43:00.810Z,lifecycle,False,
SE,31,2025-08-13T02:00:00.000Z,2025-08-13T14:46:09.599Z,2025-08-10T02:43:45.322Z,lifecycle,False,
SE,30,2025-08-13T03:00:00.000Z,2025-08-13T14:46:07.188Z,2025-08-10T03:42:36.282Z,lifecycle,False,
SE,26,2025-08-13T04:00:00.000Z,2025-08-13T14:45:38.861Z,2025-08-10T04:41:58.766Z,lifecycle,False,
SE,33,2025-08-13T05:00:00.000Z,2025-08-13T16:43:55.718Z,2025-08-10T05:46:13.630Z,lifecycle,False,
SE,34,2025-08-13T06:00:00.000Z,2025-08-13T14:46:07.188Z,2025-08-10T06:45:51.873Z,lifecycle,False,
SE,37,2025-08-13T07:00:00.000Z,2025-08-13T14:46:07.188Z,2025-08-10T07:43:54.496Z,lifecycle,False,
SE,37,2025-08-13T08:00:00.000Z,2025-08-13T14:46:09.599Z,2025-08-10T08:43:02.323Z,lifecycle,False,
SE,38,2025-08-13T09:00:00.000Z,2025-08-13T12:40:33.016Z,2025-08-10T09:41:47.931Z,lifecycle,False,
SE,38,2025-08-13T10:00:00.000Z,2025-08-13T15:40:21.543Z,2025-08-10T10:49:05.293Z,lifecycle,False,
SE,39,2025-08-13T11:00:00.000Z,2025-08-13T15:39:51.870Z,2025-08-10T11:42:16.826Z,lifecycle,False,
SE,38,2025-08-13T12:00:00.000Z,2025-08-13T16:43:11.279Z,2025-08-10T12:46:37.626Z,lifecycle,False,
SE,33,2025-08-13T13:00:00.000Z,2025-08-13T16:43:55.718Z,2025-08-10T13:41:09.562Z,lifecycle,False,
SE,23,2025-08-13T14:00:00.000Z,2025-08-13T18:40:28.923Z,2025-08-10T14:43:22.556Z,lifecycle,False,
SE,32,2025-08-13T15:00:00.000Z,2025-08-13T19:42:30.732Z,2025-08-10T15:41:27.988Z,lifecycle,False,
SE,37,2025-08-13T16:00:00.000Z,2025-08-13T19:42:49.811Z,2025-08-10T16:47:23.917Z,lifecycle,False,
SE,33,2025-08-13T17:00:00.000Z,2025-08-13T19:42:30.732Z,2025-08-10T17:42:25.359Z,lifecycle,False,
SE,33,2025-08-13T18:00:00.000Z,2025-08-13T19:42:49.811Z,2025-08-10T18:42:05.953Z,lifecycle,True,FORECASTS_HIERARCHY
SE,32,2025-08-13T19:00:00.000Z,2025-08-13T19:42:30.732Z,2025-08-10T19:47:30.189Z,lifecycle,True,FORECASTS_HIERARCHY
SE,31,2025-08-13T20:00:00.000Z,2025-08-13T19:43:03.006Z,2025-08-10T20:46:19.830Z,lifecycle,True,FORECASTS_HIERARCHY
