zone,carbonIntensity,datetime,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod
SE,45,2025-08-29T12:00:00.000Z,2025-08-30T10:33:12.860Z,2025-08-26T12:41:12.803Z,lifecycle,False,
SE,41,2025-08-29T13:00:00.000Z,2025-08-30T10:32:48.750Z,2025-08-26T13:41:20.990Z,lifecycle,False,
SE,25,2025-08-29T14:00:00.000Z,2025-08-30T10:32:48.750Z,2025-08-26T14:50:58.431Z,lifecycle,False,
SE,17,2025-08-29T15:00:00.000Z,2025-08-30T10:32:48.750Z,2025-08-26T15:42:24.585Z,lifecycle,False,
SE,17,2025-08-29T16:00:00.000Z,2025-08-30T10:32:48.750Z,2025-08-26T16:42:38.325Z,lifecycle,False,
SE,19,2025-08-29T17:00:00.000Z,2025-08-30T10:33:02.011Z,2025-08-26T17:43:31.254Z,lifecycle,False,
SE,16,2025-08-29T18:00:00.000Z,2025-08-30T10:33:12.860Z,2025-08-26T18:41:47.506Z,lifecycle,False,
SE,17,2025-08-29T19:00:00.000Z,2025-08-30T10:33:02.011Z,2025-08-26T19:41:25.062Z,lifecycle,False,
SE,16,2025-08-29T20:00:00.000Z,2025-08-30T10:32:48.750Z,2025-08-26T20:40:34.555Z,lifecycle,False,
SE,17,2025-08-29T21:00:00.000Z,2025-08-30T10:33:02.011Z,2025-08-26T21:40:46.146Z,lifecycle,False,
SE,16,2025-08-29T22:00:00.000Z,2025-08-30T05:32:55.915Z,2025-08-26T22:42:29.324Z,lifecycle,False,
SE,17,2025-08-29T23:00:00.000Z,2025-08-30T05:32:59.493Z,2025-08-26T23:40:35.227Z,lifecycle,False,
SE,16,2025-08-30T00:00:00.000Z,2025-08-30T05:32:40.755Z,2025-08-27T00:41:05.996Z,lifecycle,False,
SE,16,2025-08-30T01:00:00.000Z,2025-08-30T05:32:55.915Z,2025-08-27T01:42:58.217Z,lifecycle,False,
SE,17,2025-08-30T02:00:00.000Z,2025-08-30T06:32:30.918Z,2025-08-27T02:40:53.465Z,lifecycle,False,
SE,17,2025-08-30T03:00:00.000Z,2025-08-30T07:31:49.263Z,2025-08-27T03:44:42.999Z,lifecycle,False,
SE,17,2025-08-30T04:00:00.000Z,2025-08-30T10:33:12.860Z,2025-08-27T04:43:43.285Z,lifecycle,False,
SE,17,2025-08-30T05:00:00.000Z,2025-08-30T10:32:48.750Z,2025-08-27T05:40:27.062Z,lifecycle,False,
SE,17,2025-08-30T06:00:00.000Z,2025-08-30T10:33:12.860Z,2025-08-27T06:41:08.505Z,lifecycle,False,
SE,19,2025-08-30T07:00:00.000Z,2025-08-30T10:32:48.750Z,2025-08-27T07:40:40.769Z,lifecycle,False,
SE,41,2025-08-30T08:00:00.000Z,2025-08-30T10:33:02.011Z,2025-08-27T08:46:11.779Z,lifecycle,False,
SE,39,2025-08-30T09:00:00.000Z,2025-08-30T10:33:12.860Z,2025-08-27T09:40:14.103Z,lifecycle,True,FORECASTS_HIERARCHY
SE,49,2025-08-30T10:00:00.000Z,2025-08-30T10:33:12.860Z,2025-08-27T10:19:56.251Z,lifecycle,True,FORECASTS_HIERARCHY
SE,51,2025-08-30T11:00:00.000Z,2025-08-30T10:32:48.750Z,2025-08-27T11:44:59.834Z,lifecycle,True,FORECASTS_HIERARCHY
